,date,title,authors,abstract,url
0,2023-02-13 04:02:53+00:00,Universal Agent Mixtures and the Geometry of Intelligence,"['Samuel Allen Alexander', 'David Quarel', 'Len Du', 'Marcus Hutter']","Inspired by recent progress in multi-agent Reinforcement Learning (RL), in
this work we examine the collective intelligent behaviour of theoretical
universal agents by introducing a weighted mixture operation. Given a weighted
set of agents, their weighted mixture is a new agent whose expected total
reward in any environment is the corresponding weighted average of the original
agents' expected total rewards in that environment. Thus, if RL agent
intelligence is quantified in terms of performance across environments, the
weighted mixture's intelligence is the weighted average of the original agents'
intelligences. This operation enables various interesting new theorems that
shed light on the geometry of RL agent intelligence, namely: results about
symmetries, convex agent-sets, and local extrema. We also show that any RL
agent intelligence measure based on average performance across environments,
subject to certain weak technical conditions, is identical (up to a constant
factor) to performance within a single environment dependent on said
intelligence measure.",http://arxiv.org/abs/2302.06083v1
1,2023-02-09 15:22:09+00:00,Scaling Goal-based Exploration via Pruning Proto-goals,"['Akhil Bagaria', 'Ray Jiang', 'Ramana Kumar', 'Tom Schaul']","One of the gnarliest challenges in reinforcement learning (RL) is exploration
that scales to vast domains, where novelty-, or coverage-seeking behaviour
falls short. Goal-directed, purposeful behaviours are able to overcome this,
but rely on a good goal space. The core challenge in goal discovery is finding
the right balance between generality (not hand-crafted) and tractability
(useful, not too many). Our approach explicitly seeks the middle ground,
enabling the human designer to specify a vast but meaningful proto-goal space,
and an autonomous discovery process to refine this to a narrower space of
controllable, reachable, novel, and relevant goals. The effectiveness of
goal-conditioned exploration with the latter is then demonstrated in three
challenging environments.",http://arxiv.org/abs/2302.04693v1
2,2023-03-07 16:25:52+00:00,Exploration via Epistemic Value Estimation,"['Simon Schmitt', 'John Shawe-Taylor', 'Hado van Hasselt']","How to efficiently explore in reinforcement learning is an open problem. Many
exploration algorithms employ the epistemic uncertainty of their own value
predictions -- for instance to compute an exploration bonus or upper confidence
bound. Unfortunately the required uncertainty is difficult to estimate in
general with function approximation.
  We propose epistemic value estimation (EVE): a recipe that is compatible with
sequential decision making and with neural network function approximators. It
equips agents with a tractable posterior over all their parameters from which
epistemic value uncertainty can be computed efficiently.
  We use the recipe to derive an epistemic Q-Learning agent and observe
competitive performance on a series of benchmarks. Experiments confirm that the
EVE recipe facilitates efficient exploration in hard exploration tasks.",http://arxiv.org/abs/2303.04012v1
3,2023-01-29 18:21:05+00:00,Distilling Internet-Scale Vision-Language Models into Embodied Agents,"['Theodore Sumers', 'Kenneth Marino', 'Arun Ahuja', 'Rob Fergus', 'Ishita Dasgupta']","Instruction-following agents must ground language into their observation and
action spaces. Learning to ground language is challenging, typically requiring
domain-specific engineering or large quantities of human interaction data. To
address this challenge, we propose using pretrained vision-language models
(VLMs) to supervise embodied agents. We combine ideas from model distillation
and hindsight experience replay (HER), using a VLM to retroactively generate
language describing the agent's behavior. Simple prompting allows us to control
the supervision signal, teaching an agent to interact with novel objects based
on their names (e.g., planes) or their features (e.g., colors) in a 3D rendered
environment. Fewshot prompting lets us teach abstract category membership,
including pre-existing categories (food vs toys) and ad-hoc ones (arbitrary
preferences over objects). Our work outlines a new and effective way to use
internet-scale VLMs, repurposing the generic language grounding acquired by
such models to teach task-relevant groundings to embodied agents.",http://arxiv.org/abs/2301.12507v2
4,2022-09-28 20:49:34+00:00,Optimistic Posterior Sampling for Reinforcement Learning with Few Samples and Tight Guarantees,"['Daniil Tiapkin', 'Denis Belomestny', 'Daniele Calandriello', 'Eric Moulines', 'Remi Munos', 'Alexey Naumov', 'Mark Rowland', 'Michal Valko', 'Pierre Menard']","We consider reinforcement learning in an environment modeled by an episodic,
finite, stage-dependent Markov decision process of horizon $H$ with $S$ states,
and $A$ actions. The performance of an agent is measured by the regret after
interacting with the environment for $T$ episodes. We propose an optimistic
posterior sampling algorithm for reinforcement learning (OPSRL), a simple
variant of posterior sampling that only needs a number of posterior samples
logarithmic in $H$, $S$, $A$, and $T$ per state-action pair. For OPSRL we
guarantee a high-probability regret bound of order at most
$\widetilde{\mathcal{O}}(\sqrt{H^3SAT})$ ignoring $\text{poly}\log(HSAT)$
terms. The key novel technical ingredient is a new sharp anti-concentration
inequality for linear forms which may be of independent interest. Specifically,
we extend the normal approximation-based lower bound for Beta distributions by
Alfers and Dinges [1984] to Dirichlet distributions. Our bound matches the
lower bound of order $\Omega(\sqrt{H^3SAT})$, thereby answering the open
problems raised by Agrawal and Jia [2017b] for the episodic setting.",http://arxiv.org/abs/2209.14414v1
5,2022-04-19 15:55:47+00:00,COptiDICE: Offline Constrained Reinforcement Learning via Stationary Distribution Correction Estimation,"['Jongmin Lee', 'Cosmin Paduraru', 'Daniel J. Mankowitz', 'Nicolas Heess', 'Doina Precup', 'Kee-Eung Kim', 'Arthur Guez']","We consider the offline constrained reinforcement learning (RL) problem, in
which the agent aims to compute a policy that maximizes expected return while
satisfying given cost constraints, learning only from a pre-collected dataset.
This problem setting is appealing in many real-world scenarios, where direct
interaction with the environment is costly or risky, and where the resulting
policy should comply with safety constraints. However, it is challenging to
compute a policy that guarantees satisfying the cost constraints in the offline
RL setting, since the off-policy evaluation inherently has an estimation error.
In this paper, we present an offline constrained RL algorithm that optimizes
the policy in the space of the stationary distribution. Our algorithm,
COptiDICE, directly estimates the stationary distribution corrections of the
optimal policy with respect to returns, while constraining the cost upper
bound, with the goal of yielding a cost-conservative policy for actual
constraint satisfaction. Experimental results show that COptiDICE attains
better policies in terms of constraint satisfaction and return-maximization,
outperforming baseline algorithms.",http://arxiv.org/abs/2204.08957v1
6,2022-09-16 18:00:46+00:00,Optimizing Industrial HVAC Systems with Hierarchical Reinforcement Learning,"['William Wong', 'Praneet Dutta', 'Octavian Voicu', 'Yuri Chervonyi', 'Cosmin Paduraru', 'Jerry Luo']","Reinforcement learning (RL) techniques have been developed to optimize
industrial cooling systems, offering substantial energy savings compared to
traditional heuristic policies. A major challenge in industrial control
involves learning behaviors that are feasible in the real world due to
machinery constraints. For example, certain actions can only be executed every
few hours while other actions can be taken more frequently. Without extensive
reward engineering and experimentation, an RL agent may not learn realistic
operation of machinery. To address this, we use hierarchical reinforcement
learning with multiple agents that control subsets of actions according to
their operation time scales. Our hierarchical approach achieves energy savings
over existing baselines while maintaining constraints such as operating
chillers within safe bounds in a simulated HVAC control environment.",http://arxiv.org/abs/2209.08112v1
7,2022-07-26 18:19:17+00:00,Semi-analytical Industrial Cooling System Model for Reinforcement Learning,"['Yuri Chervonyi', 'Praneet Dutta', 'Piotr Trochim', 'Octavian Voicu', 'Cosmin Paduraru', 'Crystal Qian', 'Emre Karagozler', 'Jared Quincy Davis', 'Richard Chippendale', 'Gautam Bajaj', 'Sims Witherspoon', 'Jerry Luo']","We present a hybrid industrial cooling system model that embeds analytical
solutions within a multi-physics simulation. This model is designed for
reinforcement learning (RL) applications and balances simplicity with
simulation fidelity and interpretability. The model's fidelity is evaluated
against real world data from a large scale cooling system. This is followed by
a case study illustrating how the model can be used for RL research. For this,
we develop an industrial task suite that allows specifying different problem
settings and levels of complexity, and use it to evaluate the performance of
different RL algorithms.",http://arxiv.org/abs/2207.13131v1
8,2022-06-17 12:52:13+00:00,Generalised Policy Improvement with Geometric Policy Composition,"['Shantanu Thakoor', 'Mark Rowland', 'Diana Borsa', 'Will Dabney', 'Rémi Munos', 'André Barreto']","We introduce a method for policy improvement that interpolates between the
greedy approach of value-based reinforcement learning (RL) and the full
planning approach typical of model-based RL. The new method builds on the
concept of a geometric horizon model (GHM, also known as a gamma-model), which
models the discounted state-visitation distribution of a given policy. We show
that we can evaluate any non-Markov policy that switches between a set of base
Markov policies with fixed probability by a careful composition of the base
policy GHMs, without any additional learning. We can then apply generalised
policy improvement (GPI) to collections of such non-Markov policies to obtain a
new Markov policy that will in general outperform its precursors. We provide a
thorough theoretical analysis of this approach, develop applications to
transfer and standard RL, and empirically demonstrate its effectiveness over
standard GPI on a challenging deep RL continuous control task. We also provide
an analysis of GHM training methods, proving a novel convergence result
regarding previously proposed methods and showing how to train these models
stably in deep RL settings.",http://arxiv.org/abs/2206.08736v1
9,2022-05-16 14:13:06+00:00,From Dirichlet to Rubin: Optimistic Exploration in RL without Bonuses,"['Daniil Tiapkin', 'Denis Belomestny', 'Eric Moulines', 'Alexey Naumov', 'Sergey Samsonov', 'Yunhao Tang', 'Michal Valko', 'Pierre Menard']","We propose the Bayes-UCBVI algorithm for reinforcement learning in tabular,
stage-dependent, episodic Markov decision process: a natural extension of the
Bayes-UCB algorithm by Kaufmann et al. (2012) for multi-armed bandits. Our
method uses the quantile of a Q-value function posterior as upper confidence
bound on the optimal Q-value function. For Bayes-UCBVI, we prove a regret bound
of order $\widetilde{O}(\sqrt{H^3SAT})$ where $H$ is the length of one episode,
$S$ is the number of states, $A$ the number of actions, $T$ the number of
episodes, that matches the lower-bound of $\Omega(\sqrt{H^3SAT})$ up to
poly-$\log$ terms in $H,S,A,T$ for a large enough $T$. To the best of our
knowledge, this is the first algorithm that obtains an optimal dependence on
the horizon $H$ (and $S$) without the need for an involved Bernstein-like bonus
or noise. Crucial to our analysis is a new fine-grained anti-concentration
bound for a weighted Dirichlet sum that can be of independent interest. We then
explain how Bayes-UCBVI can be easily extended beyond the tabular setting,
exhibiting a strong link between our algorithm and Bayesian bootstrap (Rubin,
1981).",http://arxiv.org/abs/2205.07704v2
